"sample_id","sample_id_metaphlan","subject_id","study_readable","species","sex","age","weight","antibiotics","medications","Hill's/Public","Facility/Household"
"SRS018575","SRS018575","SRS018575","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS016056","SRS016056","SRS016056","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS018656","SRS018656","SRS018656","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS018623","SRS018623","SRS018623","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS064232","SRS064232","SRS064232","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS1041124","SRS1041124","SRS1041124","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS1041142","SRS1041142","SRS1041142","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"A55_01_1FE","A55_01_1FE","A55_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A32_01_1FE","A32_01_1FE","A32_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A94_01_1FE","A94_01_1FE","A94_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A04_01_1FE","A04_01_1FE","A04_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A53_01_1FE","A53_01_1FE","A53_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A25_01_1FE","A25_01_1FE","A25_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A46_02_1FE","A46_02_1FE","A46_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A73_01_1FE","A73_01_1FE","A73_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A24_02_1FE","A24_02_1FE","A24_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A82_02_1FE","A82_02_1FE","A82_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"V32_02_2FE","V32_02_2FE","V32_02_2FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A19_03_1FE","A19_03_1FE","A19_03_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A91_01_1FE","A91_01_1FE","A91_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"V50_02_1FE","V50_02_1FE","V50_02_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
"A85_01_1FE","A85_01_1FE","A85_01_1FE","Madagascar","human",NA,NA,NA,NA,NA,NA,NA
